=> Trial Start: ['dir_sim', 'recency', 'betweenness']
=> Epoch 038 | Train: 0.8122 (Easy: 0.4831, Hard: 1.1430) | Val: 0.7260 (Easy: 0.4664, Hard: 1.0019) | LR: 0.001000
=> Epoch 039 | Train: 0.8191 (Easy: 0.4870, Hard: 1.1599) | Val: 0.7246 (Easy: 0.4716, Hard: 0.9918) | LR: 0.001000
=> Epoch 040 | Train: 0.8108 (Easy: 0.4716, Hard: 1.1478) | Val: 0.7265 (Easy: 0.4729, Hard: 0.9983) | LR: 0.001000
=> Epoch 041 | Train: 0.8108 (Easy: 0.4803, Hard: 1.1441) | Val: 0.7198 (Easy: 0.4721, Hard: 0.9846) | LR: 0.001000
=> Epoch 042 | Train: 0.7983 (Easy: 0.4823, Hard: 1.1217) | Val: 0.7296 (Easy: 0.4739, Hard: 1.0027) | LR: 0.001000
=> Epoch 043 | Train: 0.8153 (Easy: 0.4825, Hard: 1.1549) | Val: 0.7210 (Easy: 0.4650, Hard: 0.9910) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 044 | Train: 0.8068 (Easy: 0.4764, Hard: 1.1307) | Val: 0.7189 (Easy: 0.4535, Hard: 0.9971) | LR: 0.000500
=> Epoch 045 | Train: 0.7950 (Easy: 0.4770, Hard: 1.1143) | Val: 0.7285 (Easy: 0.4534, Hard: 1.0093) | LR: 0.000500
=> Epoch 046 | Train: 0.8049 (Easy: 0.4754, Hard: 1.1309) | Val: 0.7206 (Easy: 0.4514, Hard: 0.9984) | LR: 0.000500
=> Epoch 047 | Train: 0.8008 (Easy: 0.4794, Hard: 1.1201) | Val: 0.7228 (Easy: 0.4534, Hard: 0.9999) | LR: 0.000500
=> Epoch 048 | Train: 0.7931 (Easy: 0.4693, Hard: 1.1191) | Val: 0.7166 (Easy: 0.4617, Hard: 0.9851) | LR: 0.000500
=> Early stopping triggered
=> Final Test Accuracy: 0.6971 | Easy: 0.8173 | Hard: 0.5076

=> Split: 1 | Features: ['dir_sim', 'recency', 'betweenness']
=> Epoch 000 | Train: 1.2096 (Easy: 0.8532, Hard: 1.5588) | Val: 0.8910 (Easy: 0.5233, Hard: 1.3399) | LR: 0.001000
=> Epoch 001 | Train: 1.0378 (Easy: 0.5780, Hard: 1.4990) | Val: 0.8596 (Easy: 0.4964, Hard: 1.3122) | LR: 0.001000
=> Epoch 002 | Train: 1.0024 (Easy: 0.5601, Hard: 1.4419) | Val: 0.8489 (Easy: 0.4874, Hard: 1.3084) | LR: 0.001000
=> Epoch 003 | Train: 0.9925 (Easy: 0.5609, Hard: 1.4247) | Val: 0.8451 (Easy: 0.4910, Hard: 1.2998) | LR: 0.001000
=> Epoch 004 | Train: 0.9823 (Easy: 0.5560, Hard: 1.4137) | Val: 0.8425 (Easy: 0.4819, Hard: 1.3066) | LR: 0.001000
=> Epoch 005 | Train: 0.9705 (Easy: 0.5505, Hard: 1.3995) | Val: 0.8410 (Easy: 0.4840, Hard: 1.3027) | LR: 0.001000
=> Epoch 006 | Train: 0.9754 (Easy: 0.5548, Hard: 1.3997) | Val: 0.8335 (Easy: 0.4759, Hard: 1.2955) | LR: 0.001000
=> Epoch 007 | Train: 0.9639 (Easy: 0.5423, Hard: 1.3934) | Val: 0.8281 (Easy: 0.4754, Hard: 1.2849) | LR: 0.001000
=> Epoch 008 | Train: 0.9493 (Easy: 0.5415, Hard: 1.3674) | Val: 0.8218 (Easy: 0.4870, Hard: 1.2576) | LR: 0.001000
=> Epoch 009 | Train: 0.9503 (Easy: 0.5325, Hard: 1.3757) | Val: 0.8168 (Easy: 0.4835, Hard: 1.2501) | LR: 0.001000
=> Epoch 010 | Train: 0.9383 (Easy: 0.5286, Hard: 1.3640) | Val: 0.8162 (Easy: 0.4851, Hard: 1.2490) | LR: 0.001000
=> Epoch 011 | Train: 0.9413 (Easy: 0.5245, Hard: 1.3724) | Val: 0.8131 (Easy: 0.4921, Hard: 1.2348) | LR: 0.001000
=> Epoch 012 | Train: 0.9299 (Easy: 0.5134, Hard: 1.3579) | Val: 0.8076 (Easy: 0.4795, Hard: 1.2351) | LR: 0.001000
=> Epoch 013 | Train: 0.9316 (Easy: 0.5110, Hard: 1.3656) | Val: 0.8011 (Easy: 0.4822, Hard: 1.2144) | LR: 0.001000
=> Epoch 014 | Train: 0.9206 (Easy: 0.5058, Hard: 1.3424) | Val: 0.7937 (Easy: 0.4618, Hard: 1.2219) | LR: 0.001000
=> Epoch 015 | Train: 0.9164 (Easy: 0.5097, Hard: 1.3330) | Val: 0.7886 (Easy: 0.4588, Hard: 1.2125) | LR: 0.001000
=> Epoch 016 | Train: 0.9102 (Easy: 0.4973, Hard: 1.3347) | Val: 0.7911 (Easy: 0.4628, Hard: 1.2169) | LR: 0.001000
=> Epoch 017 | Train: 0.9050 (Easy: 0.4959, Hard: 1.3250) | Val: 0.7821 (Easy: 0.4582, Hard: 1.2012) | LR: 0.001000
=> Epoch 018 | Train: 0.8801 (Easy: 0.4859, Hard: 1.2856) | Val: 0.7904 (Easy: 0.4639, Hard: 1.2123) | LR: 0.001000
=> Epoch 019 | Train: 0.8974 (Easy: 0.4905, Hard: 1.3115) | Val: 0.7717 (Easy: 0.4475, Hard: 1.1881) | LR: 0.001000
=> Epoch 020 | Train: 0.8789 (Easy: 0.4818, Hard: 1.2827) | Val: 0.7654 (Easy: 0.4472, Hard: 1.1723) | LR: 0.001000
=> Epoch 021 | Train: 0.8758 (Easy: 0.4895, Hard: 1.2578) | Val: 0.7562 (Easy: 0.4309, Hard: 1.1697) | LR: 0.001000
=> Epoch 022 | Train: 0.8684 (Easy: 0.4802, Hard: 1.2582) | Val: 0.7431 (Easy: 0.4179, Hard: 1.1532) | LR: 0.001000
=> Epoch 023 | Train: 0.8669 (Easy: 0.4815, Hard: 1.2587) | Val: 0.7421 (Easy: 0.4199, Hard: 1.1473) | LR: 0.001000
=> Epoch 024 | Train: 0.8573 (Easy: 0.4828, Hard: 1.2386) | Val: 0.7375 (Easy: 0.4209, Hard: 1.1364) | LR: 0.001000
=> Epoch 025 | Train: 0.8545 (Easy: 0.4729, Hard: 1.2426) | Val: 0.7352 (Easy: 0.4212, Hard: 1.1281) | LR: 0.001000
=> Epoch 026 | Train: 0.8567 (Easy: 0.4776, Hard: 1.2364) | Val: 0.7341 (Easy: 0.4120, Hard: 1.1366) | LR: 0.001000
=> Epoch 027 | Train: 0.8455 (Easy: 0.4752, Hard: 1.2273) | Val: 0.7327 (Easy: 0.4100, Hard: 1.1361) | LR: 0.001000
=> Epoch 028 | Train: 0.8347 (Easy: 0.4641, Hard: 1.2130) | Val: 0.7312 (Easy: 0.4116, Hard: 1.1301) | LR: 0.001000
=> Epoch 029 | Train: 0.8396 (Easy: 0.4725, Hard: 1.2132) | Val: 0.7258 (Easy: 0.4135, Hard: 1.1176) | LR: 0.001000
=> Epoch 030 | Train: 0.8341 (Easy: 0.4723, Hard: 1.1993) | Val: 0.7248 (Easy: 0.4099, Hard: 1.1195) | LR: 0.001000
