=> Trial Start: ['dir_sim', 'recency', 'has_target']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target']
=> Epoch 038 | Train: 0.8524 (Easy: 0.5178, Hard: 1.1744) | Val: 0.7008 (Easy: 0.4216, Hard: 0.9977) | LR: 0.001000
=> Epoch 039 | Train: 0.8463 (Easy: 0.5219, Hard: 1.1604) | Val: 0.7008 (Easy: 0.4194, Hard: 0.9971) | LR: 0.001000
=> Epoch 040 | Train: 0.8328 (Easy: 0.4975, Hard: 1.1522) | Val: 0.6968 (Easy: 0.4206, Hard: 0.9892) | LR: 0.001000
=> Epoch 041 | Train: 0.8277 (Easy: 0.5057, Hard: 1.1332) | Val: 0.6960 (Easy: 0.4177, Hard: 0.9886) | LR: 0.001000
=> Epoch 042 | Train: 0.8161 (Easy: 0.5007, Hard: 1.1232) | Val: 0.7017 (Easy: 0.4242, Hard: 0.9952) | LR: 0.001000
=> Epoch 043 | Train: 0.8407 (Easy: 0.5144, Hard: 1.1544) | Val: 0.7017 (Easy: 0.4194, Hard: 1.0032) | LR: 0.001000
=> Epoch 044 | Train: 0.8274 (Easy: 0.5082, Hard: 1.1317) | Val: 0.6941 (Easy: 0.4169, Hard: 0.9891) | LR: 0.001000
=> Epoch 045 | Train: 0.8204 (Easy: 0.4989, Hard: 1.1331) | Val: 0.6970 (Easy: 0.4260, Hard: 0.9876) | LR: 0.001000
=> Epoch 046 | Train: 0.8102 (Easy: 0.5063, Hard: 1.1038) | Val: 0.6948 (Easy: 0.4180, Hard: 0.9902) | LR: 0.001000
=> Epoch 047 | Train: 0.8186 (Easy: 0.5034, Hard: 1.1244) | Val: 0.6900 (Easy: 0.4156, Hard: 0.9834) | LR: 0.001000
=> Epoch 048 | Train: 0.8028 (Easy: 0.4938, Hard: 1.1081) | Val: 0.7032 (Easy: 0.4261, Hard: 1.0157) | LR: 0.001000
=> Epoch 049 | Train: 0.8015 (Easy: 0.4982, Hard: 1.0920) | Val: 0.6869 (Easy: 0.4147, Hard: 0.9815) | LR: 0.001000
=> Epoch 050 | Train: 0.8141 (Easy: 0.5087, Hard: 1.1117) | Val: 0.6879 (Easy: 0.4172, Hard: 0.9731) | LR: 0.001000
=> Epoch 051 | Train: 0.8087 (Easy: 0.5035, Hard: 1.1083) | Val: 0.6813 (Easy: 0.4150, Hard: 0.9657) | LR: 0.001000
=> Epoch 052 | Train: 0.8013 (Easy: 0.5083, Hard: 1.0841) | Val: 0.6739 (Easy: 0.4144, Hard: 0.9518) | LR: 0.001000
=> Epoch 053 | Train: 0.8060 (Easy: 0.5017, Hard: 1.0944) | Val: 0.6925 (Easy: 0.4170, Hard: 0.9907) | LR: 0.001000
=> Epoch 054 | Train: 0.8161 (Easy: 0.5007, Hard: 1.1175) | Val: 0.6760 (Easy: 0.4136, Hard: 0.9569) | LR: 0.001000
=> Epoch 055 | Train: 0.7906 (Easy: 0.4965, Hard: 1.0785) | Val: 0.6770 (Easy: 0.4134, Hard: 0.9568) | LR: 0.001000
=> Epoch 056 | Train: 0.8045 (Easy: 0.4988, Hard: 1.1026) | Val: 0.6786 (Easy: 0.4134, Hard: 0.9598) | LR: 0.001000
=> Epoch 057 | Train: 0.7964 (Easy: 0.4987, Hard: 1.0844) | Val: 0.6771 (Easy: 0.4164, Hard: 0.9556) | LR: 0.001000
=> Epoch 058 | Train: 0.8139 (Easy: 0.4930, Hard: 1.1208) | Val: 0.6828 (Easy: 0.4178, Hard: 0.9665) | LR: 0.001000
=> Epoch 059 | Train: 0.8012 (Easy: 0.5080, Hard: 1.0818) | Val: 0.6762 (Easy: 0.4161, Hard: 0.9549) | LR: 0.001000
=> Epoch 060 | Train: 0.7874 (Easy: 0.5015, Hard: 1.0649) | Val: 0.6783 (Easy: 0.4144, Hard: 0.9589) | LR: 0.001000
=> Epoch 061 | Train: 0.7834 (Easy: 0.4840, Hard: 1.0750) | Val: 0.6755 (Easy: 0.4131, Hard: 0.9530) | LR: 0.001000
=> Epoch 062 | Train: 0.7992 (Easy: 0.5000, Hard: 1.0864) | Val: 0.6828 (Easy: 0.4180, Hard: 0.9629) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 063 | Train: 0.7825 (Easy: 0.5016, Hard: 1.0483) | Val: 0.6723 (Easy: 0.4131, Hard: 0.9472) | LR: 0.000500
=> Epoch 064 | Train: 0.7771 (Easy: 0.4934, Hard: 1.0521) | Val: 0.6728 (Easy: 0.4138, Hard: 0.9480) | LR: 0.000500
=> Epoch 065 | Train: 0.7831 (Easy: 0.4967, Hard: 1.0557) | Val: 0.6827 (Easy: 0.4156, Hard: 0.9697) | LR: 0.000500
=> Epoch 066 | Train: 0.7929 (Easy: 0.4990, Hard: 1.0687) | Val: 0.6804 (Easy: 0.4163, Hard: 0.9547) | LR: 0.000500
=> Epoch 067 | Train: 0.7751 (Easy: 0.4866, Hard: 1.0503) | Val: 0.6720 (Easy: 0.4142, Hard: 0.9430) | LR: 0.000500
