=> Trial Start: ['dir_sim', 'recency', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_hallway']
=> Epoch 038 | Train: 0.8405 (Easy: 0.4807, Hard: 1.2032) | Val: 0.7230 (Easy: 0.4627, Hard: 0.9964) | LR: 0.001000
=> Epoch 039 | Train: 0.8457 (Easy: 0.4758, Hard: 1.2177) | Val: 0.7137 (Easy: 0.4512, Hard: 0.9890) | LR: 0.001000
=> Epoch 040 | Train: 0.8391 (Easy: 0.4687, Hard: 1.2036) | Val: 0.7215 (Easy: 0.4529, Hard: 1.0011) | LR: 0.001000
=> Epoch 041 | Train: 0.8313 (Easy: 0.4699, Hard: 1.1891) | Val: 0.7199 (Easy: 0.4546, Hard: 0.9941) | LR: 0.001000
=> Epoch 042 | Train: 0.8365 (Easy: 0.4770, Hard: 1.1919) | Val: 0.7166 (Easy: 0.4501, Hard: 0.9931) | LR: 0.001000
=> Epoch 043 | Train: 0.8355 (Easy: 0.4707, Hard: 1.2011) | Val: 0.7087 (Easy: 0.4434, Hard: 0.9838) | LR: 0.001000
=> Epoch 044 | Train: 0.8257 (Easy: 0.4675, Hard: 1.1813) | Val: 0.7161 (Easy: 0.4528, Hard: 0.9881) | LR: 0.001000
=> Epoch 045 | Train: 0.8207 (Easy: 0.4738, Hard: 1.1665) | Val: 0.7110 (Easy: 0.4518, Hard: 0.9809) | LR: 0.001000
=> Epoch 046 | Train: 0.8176 (Easy: 0.4715, Hard: 1.1587) | Val: 0.7123 (Easy: 0.4425, Hard: 0.9907) | LR: 0.001000
=> Epoch 047 | Train: 0.8182 (Easy: 0.4685, Hard: 1.1640) | Val: 0.7073 (Easy: 0.4329, Hard: 0.9860) | LR: 0.001000
=> Epoch 048 | Train: 0.8216 (Easy: 0.4689, Hard: 1.1603) | Val: 0.7066 (Easy: 0.4391, Hard: 0.9827) | LR: 0.001000
=> Epoch 049 | Train: 0.8200 (Easy: 0.4603, Hard: 1.1747) | Val: 0.6992 (Easy: 0.4398, Hard: 0.9683) | LR: 0.001000
=> Epoch 050 | Train: 0.8117 (Easy: 0.4619, Hard: 1.1583) | Val: 0.7050 (Easy: 0.4436, Hard: 0.9708) | LR: 0.001000
=> Epoch 051 | Train: 0.8080 (Easy: 0.4636, Hard: 1.1504) | Val: 0.7041 (Easy: 0.4469, Hard: 0.9692) | LR: 0.001000
=> Epoch 052 | Train: 0.8005 (Easy: 0.4704, Hard: 1.1289) | Val: 0.6992 (Easy: 0.4372, Hard: 0.9650) | LR: 0.001000
=> Epoch 053 | Train: 0.8094 (Easy: 0.4642, Hard: 1.1437) | Val: 0.7058 (Easy: 0.4381, Hard: 0.9769) | LR: 0.001000
=> Epoch 054 | Train: 0.8021 (Easy: 0.4551, Hard: 1.1464) | Val: 0.6974 (Easy: 0.4423, Hard: 0.9569) | LR: 0.001000
=> Epoch 055 | Train: 0.8075 (Easy: 0.4645, Hard: 1.1521) | Val: 0.6965 (Easy: 0.4370, Hard: 0.9555) | LR: 0.001000
=> Epoch 056 | Train: 0.8047 (Easy: 0.4644, Hard: 1.1368) | Val: 0.6924 (Easy: 0.4372, Hard: 0.9554) | LR: 0.001000
=> Epoch 057 | Train: 0.7970 (Easy: 0.4578, Hard: 1.1301) | Val: 0.6988 (Easy: 0.4372, Hard: 0.9639) | LR: 0.001000
=> Epoch 058 | Train: 0.8140 (Easy: 0.4615, Hard: 1.1573) | Val: 0.6949 (Easy: 0.4373, Hard: 0.9583) | LR: 0.001000
=> Epoch 059 | Train: 0.8072 (Easy: 0.4687, Hard: 1.1367) | Val: 0.6997 (Easy: 0.4373, Hard: 0.9683) | LR: 0.001000
=> Epoch 060 | Train: 0.8047 (Easy: 0.4553, Hard: 1.1485) | Val: 0.7026 (Easy: 0.4375, Hard: 0.9740) | LR: 0.001000
=> Epoch 061 | Train: 0.8001 (Easy: 0.4641, Hard: 1.1247) | Val: 0.6932 (Easy: 0.4367, Hard: 0.9546) | LR: 0.001000
=> Epoch 062 | Train: 0.7890 (Easy: 0.4536, Hard: 1.1211) | Val: 0.6957 (Easy: 0.4426, Hard: 0.9536) | LR: 0.001000
=> Epoch 063 | Train: 0.8009 (Easy: 0.4657, Hard: 1.1311) | Val: 0.7017 (Easy: 0.4437, Hard: 0.9629) | LR: 0.001000
=> Epoch 064 | Train: 0.7943 (Easy: 0.4613, Hard: 1.1188) | Val: 0.6936 (Easy: 0.4369, Hard: 0.9528) | LR: 0.001000
=> Epoch 065 | Train: 0.8033 (Easy: 0.4648, Hard: 1.1347) | Val: 0.6921 (Easy: 0.4374, Hard: 0.9542) | LR: 0.001000
=> Epoch 066 | Train: 0.8030 (Easy: 0.4577, Hard: 1.1416) | Val: 0.6944 (Easy: 0.4358, Hard: 0.9545) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 067 | Train: 0.7742 (Easy: 0.4557, Hard: 1.0924) | Val: 0.6897 (Easy: 0.4338, Hard: 0.9496) | LR: 0.000500
=> Epoch 068 | Train: 0.7892 (Easy: 0.4509, Hard: 1.1185) | Val: 0.6900 (Easy: 0.4368, Hard: 0.9520) | LR: 0.000500
=> Epoch 069 | Train: 0.7844 (Easy: 0.4515, Hard: 1.1087) | Val: 0.6873 (Easy: 0.4350, Hard: 0.9436) | LR: 0.000500
=> Epoch 070 | Train: 0.7876 (Easy: 0.4533, Hard: 1.1113) | Val: 0.6862 (Easy: 0.4398, Hard: 0.9370) | LR: 0.000500
=> Epoch 071 | Train: 0.7799 (Easy: 0.4506, Hard: 1.1053) | Val: 0.6871 (Easy: 0.4355, Hard: 0.9426) | LR: 0.000500
=> Epoch 072 | Train: 0.7733 (Easy: 0.4524, Hard: 1.0900) | Val: 0.6867 (Easy: 0.4356, Hard: 0.9439) | LR: 0.000500
=> Epoch 073 | Train: 0.7712 (Easy: 0.4406, Hard: 1.0949) | Val: 0.6869 (Easy: 0.4380, Hard: 0.9426) | LR: 0.000500
=> Epoch 074 | Train: 0.7808 (Easy: 0.4523, Hard: 1.1028) | Val: 0.6872 (Easy: 0.4359, Hard: 0.9459) | LR: 0.000500
=> Epoch 075 | Train: 0.7731 (Easy: 0.4477, Hard: 1.0923) | Val: 0.6854 (Easy: 0.4326, Hard: 0.9394) | LR: 0.000500
=> Epoch 076 | Train: 0.7684 (Easy: 0.4484, Hard: 1.0772) | Val: 0.6863 (Easy: 0.4342, Hard: 0.9411) | LR: 0.000500
=> Epoch 077 | Train: 0.7785 (Easy: 0.4503, Hard: 1.1041) | Val: 0.6860 (Easy: 0.4348, Hard: 0.9436) | LR: 0.000500
=> Epoch 078 | Train: 0.7741 (Easy: 0.4524, Hard: 1.0891) | Val: 0.6852 (Easy: 0.4402, Hard: 0.9367) | LR: 0.000500
=> Epoch 079 | Train: 0.7625 (Easy: 0.4455, Hard: 1.0818) | Val: 0.6864 (Easy: 0.4354, Hard: 0.9409) | LR: 0.000500
=> Epoch 080 | Train: 0.7812 (Easy: 0.4561, Hard: 1.1046) | Val: 0.6847 (Easy: 0.4324, Hard: 0.9427) | LR: 0.000500
=> Epoch 081 | Train: 0.7794 (Easy: 0.4551, Hard: 1.0959) | Val: 0.6848 (Easy: 0.4363, Hard: 0.9401) | LR: 0.000500
=> Epoch 082 | Train: 0.7755 (Easy: 0.4488, Hard: 1.0983) | Val: 0.6839 (Easy: 0.4354, Hard: 0.9398) | LR: 0.000500
=> Epoch 083 | Train: 0.7780 (Easy: 0.4519, Hard: 1.0942) | Val: 0.6830 (Easy: 0.4310, Hard: 0.9389) | LR: 0.000500
=> Epoch 084 | Train: 0.7696 (Easy: 0.4525, Hard: 1.0758) | Val: 0.6823 (Easy: 0.4393, Hard: 0.9318) | LR: 0.000500
=> Epoch 085 | Train: 0.7676 (Easy: 0.4484, Hard: 1.0723) | Val: 0.6805 (Easy: 0.4406, Hard: 0.9304) | LR: 0.000500
=> Epoch 086 | Train: 0.7581 (Easy: 0.4440, Hard: 1.0646) | Val: 0.6792 (Easy: 0.4346, Hard: 0.9325) | LR: 0.000500
