=> Trial Start: ['dir_sim', 'recency', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'recency', 'exit_dist']
=> Epoch 038 | Train: 0.8081 (Easy: 0.4706, Hard: 1.1586) | Val: 0.7019 (Easy: 0.4330, Hard: 1.0081) | LR: 0.001000
=> Epoch 039 | Train: 0.8054 (Easy: 0.4743, Hard: 1.1449) | Val: 0.6961 (Easy: 0.4257, Hard: 0.9991) | LR: 0.001000
=> Epoch 040 | Train: 0.8022 (Easy: 0.4563, Hard: 1.1573) | Val: 0.7203 (Easy: 0.4443, Hard: 1.0341) | LR: 0.001000
=> Epoch 041 | Train: 0.8085 (Easy: 0.4577, Hard: 1.1646) | Val: 0.7035 (Easy: 0.4394, Hard: 1.0067) | LR: 0.001000
=> Epoch 042 | Train: 0.7982 (Easy: 0.4633, Hard: 1.1439) | Val: 0.7090 (Easy: 0.4453, Hard: 1.0120) | LR: 0.001000
=> Epoch 043 | Train: 0.7965 (Easy: 0.4619, Hard: 1.1382) | Val: 0.6930 (Easy: 0.4331, Hard: 0.9895) | LR: 0.001000
=> Epoch 044 | Train: 0.7983 (Easy: 0.4622, Hard: 1.1395) | Val: 0.6959 (Easy: 0.4311, Hard: 0.9966) | LR: 0.001000
=> Epoch 045 | Train: 0.8020 (Easy: 0.4532, Hard: 1.1588) | Val: 0.7001 (Easy: 0.4348, Hard: 0.9995) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 046 | Train: 0.7815 (Easy: 0.4588, Hard: 1.1074) | Val: 0.6906 (Easy: 0.4238, Hard: 0.9891) | LR: 0.000500
=> Epoch 047 | Train: 0.7777 (Easy: 0.4522, Hard: 1.1039) | Val: 0.6819 (Easy: 0.4207, Hard: 0.9733) | LR: 0.000500
=> Epoch 048 | Train: 0.7832 (Easy: 0.4548, Hard: 1.1149) | Val: 0.6846 (Easy: 0.4199, Hard: 0.9805) | LR: 0.000500
=> Epoch 049 | Train: 0.7883 (Easy: 0.4611, Hard: 1.1181) | Val: 0.6837 (Easy: 0.4187, Hard: 0.9789) | LR: 0.000500
=> Epoch 050 | Train: 0.7784 (Easy: 0.4517, Hard: 1.1150) | Val: 0.6960 (Easy: 0.4293, Hard: 0.9966) | LR: 0.000500
=> Epoch 051 | Train: 0.7928 (Easy: 0.4543, Hard: 1.1352) | Val: 0.6784 (Easy: 0.4215, Hard: 0.9656) | LR: 0.000500
=> Epoch 052 | Train: 0.7899 (Easy: 0.4561, Hard: 1.1307) | Val: 0.6821 (Easy: 0.4198, Hard: 0.9732) | LR: 0.000500
=> Epoch 053 | Train: 0.7858 (Easy: 0.4579, Hard: 1.1218) | Val: 0.6818 (Easy: 0.4180, Hard: 0.9767) | LR: 0.000500
=> Epoch 054 | Train: 0.7863 (Easy: 0.4497, Hard: 1.1266) | Val: 0.6741 (Easy: 0.4206, Hard: 0.9607) | LR: 0.000500
=> Epoch 055 | Train: 0.7778 (Easy: 0.4543, Hard: 1.1058) | Val: 0.6823 (Easy: 0.4238, Hard: 0.9698) | LR: 0.000500
=> Epoch 056 | Train: 0.7688 (Easy: 0.4532, Hard: 1.0881) | Val: 0.6811 (Easy: 0.4253, Hard: 0.9681) | LR: 0.000500
=> Epoch 057 | Train: 0.7811 (Easy: 0.4549, Hard: 1.1072) | Val: 0.6732 (Easy: 0.4203, Hard: 0.9566) | LR: 0.000500
=> Epoch 058 | Train: 0.7809 (Easy: 0.4491, Hard: 1.1182) | Val: 0.6748 (Easy: 0.4221, Hard: 0.9586) | LR: 0.000500
=> Epoch 059 | Train: 0.7764 (Easy: 0.4598, Hard: 1.0922) | Val: 0.6768 (Easy: 0.4258, Hard: 0.9579) | LR: 0.000500
=> Epoch 060 | Train: 0.7791 (Easy: 0.4576, Hard: 1.1087) | Val: 0.6722 (Easy: 0.4203, Hard: 0.9533) | LR: 0.000500
=> Epoch 061 | Train: 0.7692 (Easy: 0.4511, Hard: 1.0925) | Val: 0.6823 (Easy: 0.4256, Hard: 0.9696) | LR: 0.000500
=> Epoch 062 | Train: 0.7728 (Easy: 0.4488, Hard: 1.1028) | Val: 0.6836 (Easy: 0.4253, Hard: 0.9726) | LR: 0.000500
=> Epoch 063 | Train: 0.7687 (Easy: 0.4501, Hard: 1.0876) | Val: 0.6842 (Easy: 0.4295, Hard: 0.9692) | LR: 0.000500
=> Epoch 064 | Train: 0.7723 (Easy: 0.4508, Hard: 1.1004) | Val: 0.6804 (Easy: 0.4271, Hard: 0.9635) | LR: 0.000500
=> Epoch 065 | Train: 0.7800 (Easy: 0.4446, Hard: 1.1203) | Val: 0.6779 (Easy: 0.4258, Hard: 0.9600) | LR: 0.000500
=> Epoch 066 | Train: 0.7667 (Easy: 0.4519, Hard: 1.0790) | Val: 0.6738 (Easy: 0.4204, Hard: 0.9571) | LR: 0.000500
=> Epoch 067 | Train: 0.7692 (Easy: 0.4515, Hard: 1.0896) | Val: 0.6703 (Easy: 0.4209, Hard: 0.9512) | LR: 0.000500
=> Epoch 068 | Train: 0.7704 (Easy: 0.4529, Hard: 1.0918) | Val: 0.6762 (Easy: 0.4262, Hard: 0.9555) | LR: 0.000500
=> Epoch 069 | Train: 0.7671 (Easy: 0.4493, Hard: 1.0969) | Val: 0.6729 (Easy: 0.4239, Hard: 0.9525) | LR: 0.000500
=> Epoch 070 | Train: 0.7700 (Easy: 0.4423, Hard: 1.1031) | Val: 0.6741 (Easy: 0.4243, Hard: 0.9545) | LR: 0.000500
=> Epoch 071 | Train: 0.7640 (Easy: 0.4460, Hard: 1.0861) | Val: 0.6732 (Easy: 0.4244, Hard: 0.9507) | LR: 0.000500
=> Epoch 072 | Train: 0.7517 (Easy: 0.4437, Hard: 1.0580) | Val: 0.6764 (Easy: 0.4254, Hard: 0.9534) | LR: 0.000500
=> Epoch 073 | Train: 0.7625 (Easy: 0.4422, Hard: 1.0795) | Val: 0.6713 (Easy: 0.4211, Hard: 0.9494) | LR: 0.000500
=> Epoch 074 | Train: 0.7667 (Easy: 0.4427, Hard: 1.0858) | Val: 0.6693 (Easy: 0.4237, Hard: 0.9415) | LR: 0.000500
=> Epoch 075 | Train: 0.7619 (Easy: 0.4565, Hard: 1.0695) | Val: 0.6760 (Easy: 0.4268, Hard: 0.9513) | LR: 0.000500
=> Epoch 076 | Train: 0.7541 (Easy: 0.4435, Hard: 1.0620) | Val: 0.6742 (Easy: 0.4304, Hard: 0.9458) | LR: 0.000500
=> Epoch 077 | Train: 0.7587 (Easy: 0.4454, Hard: 1.0794) | Val: 0.6859 (Easy: 0.4363, Hard: 0.9610) | LR: 0.000500
=> Epoch 078 | Train: 0.7655 (Easy: 0.4545, Hard: 1.0779) | Val: 0.6683 (Easy: 0.4206, Hard: 0.9421) | LR: 0.000500
=> Epoch 079 | Train: 0.7586 (Easy: 0.4419, Hard: 1.0772) | Val: 0.6672 (Easy: 0.4220, Hard: 0.9389) | LR: 0.000500
=> Epoch 080 | Train: 0.7670 (Easy: 0.4535, Hard: 1.0802) | Val: 0.6726 (Easy: 0.4265, Hard: 0.9437) | LR: 0.000500
=> Epoch 081 | Train: 0.7600 (Easy: 0.4397, Hard: 1.0734) | Val: 0.6786 (Easy: 0.4330, Hard: 0.9500) | LR: 0.000500
