=> Trial Start: ['dir_sim', 'recency', 'is_entrance']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_entrance']
=> Epoch 038 | Train: 0.7951 (Easy: 0.4644, Hard: 1.1307) | Val: 0.7159 (Easy: 0.4343, Hard: 1.0063) | LR: 0.001000
=> Epoch 039 | Train: 0.7938 (Easy: 0.4767, Hard: 1.1164) | Val: 0.7191 (Easy: 0.4389, Hard: 1.0071) | LR: 0.001000
=> Epoch 040 | Train: 0.7808 (Easy: 0.4607, Hard: 1.1058) | Val: 0.7152 (Easy: 0.4360, Hard: 0.9990) | LR: 0.001000
=> Epoch 041 | Train: 0.7842 (Easy: 0.4655, Hard: 1.1027) | Val: 0.7088 (Easy: 0.4380, Hard: 0.9866) | LR: 0.001000
=> Epoch 042 | Train: 0.7724 (Easy: 0.4660, Hard: 1.0856) | Val: 0.7139 (Easy: 0.4347, Hard: 1.0035) | LR: 0.001000
=> Epoch 043 | Train: 0.7782 (Easy: 0.4578, Hard: 1.1074) | Val: 0.7118 (Easy: 0.4296, Hard: 0.9987) | LR: 0.001000
=> Epoch 044 | Train: 0.7886 (Easy: 0.4685, Hard: 1.1112) | Val: 0.7092 (Easy: 0.4298, Hard: 0.9986) | LR: 0.001000
=> Epoch 045 | Train: 0.7725 (Easy: 0.4569, Hard: 1.0913) | Val: 0.7180 (Easy: 0.4325, Hard: 1.0041) | LR: 0.001000
=> Epoch 046 | Train: 0.7842 (Easy: 0.4669, Hard: 1.0956) | Val: 0.7054 (Easy: 0.4312, Hard: 0.9856) | LR: 0.001000
=> Epoch 047 | Train: 0.7803 (Easy: 0.4623, Hard: 1.0955) | Val: 0.6987 (Easy: 0.4310, Hard: 0.9754) | LR: 0.001000
=> Epoch 048 | Train: 0.7743 (Easy: 0.4516, Hard: 1.0953) | Val: 0.6982 (Easy: 0.4323, Hard: 0.9762) | LR: 0.001000
=> Epoch 049 | Train: 0.7768 (Easy: 0.4590, Hard: 1.0996) | Val: 0.7068 (Easy: 0.4251, Hard: 0.9952) | LR: 0.001000
=> Epoch 050 | Train: 0.7645 (Easy: 0.4584, Hard: 1.0717) | Val: 0.7054 (Easy: 0.4267, Hard: 0.9928) | LR: 0.001000
=> Epoch 051 | Train: 0.7790 (Easy: 0.4630, Hard: 1.1040) | Val: 0.7092 (Easy: 0.4319, Hard: 0.9917) | LR: 0.001000
=> Epoch 052 | Train: 0.7794 (Easy: 0.4664, Hard: 1.0934) | Val: 0.7058 (Easy: 0.4267, Hard: 0.9912) | LR: 0.001000
=> Epoch 053 | Train: 0.7769 (Easy: 0.4596, Hard: 1.0976) | Val: 0.7099 (Easy: 0.4297, Hard: 0.9968) | LR: 0.001000
