=> Trial Start: ['dir_sim', 'recency', 'is_common']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_common']
=> Epoch 038 | Train: 0.8822 (Easy: 0.4929, Hard: 1.2644) | Val: 0.7583 (Easy: 0.4550, Hard: 1.0851) | LR: 0.001000
=> Epoch 039 | Train: 0.8934 (Easy: 0.4964, Hard: 1.2819) | Val: 0.7582 (Easy: 0.4547, Hard: 1.0835) | LR: 0.001000
=> Epoch 040 | Train: 0.8790 (Easy: 0.4840, Hard: 1.2640) | Val: 0.7586 (Easy: 0.4525, Hard: 1.0904) | LR: 0.001000
=> Epoch 041 | Train: 0.8829 (Easy: 0.4956, Hard: 1.2618) | Val: 0.7615 (Easy: 0.4518, Hard: 1.0975) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 042 | Train: 0.8651 (Easy: 0.4921, Hard: 1.2329) | Val: 0.7600 (Easy: 0.4409, Hard: 1.0979) | LR: 0.000500
=> Epoch 043 | Train: 0.8776 (Easy: 0.4938, Hard: 1.2533) | Val: 0.7550 (Easy: 0.4429, Hard: 1.0836) | LR: 0.000500
=> Epoch 044 | Train: 0.8749 (Easy: 0.4983, Hard: 1.2403) | Val: 0.7535 (Easy: 0.4408, Hard: 1.0863) | LR: 0.000500
=> Epoch 045 | Train: 0.8729 (Easy: 0.4853, Hard: 1.2540) | Val: 0.7540 (Easy: 0.4433, Hard: 1.0825) | LR: 0.000500
=> Epoch 046 | Train: 0.8629 (Easy: 0.4759, Hard: 1.2354) | Val: 0.7522 (Easy: 0.4427, Hard: 1.0813) | LR: 0.000500
=> Epoch 047 | Train: 0.8693 (Easy: 0.4804, Hard: 1.2532) | Val: 0.7561 (Easy: 0.4433, Hard: 1.0886) | LR: 0.000500
=> Epoch 048 | Train: 0.8663 (Easy: 0.4857, Hard: 1.2401) | Val: 0.7512 (Easy: 0.4465, Hard: 1.0737) | LR: 0.000500
=> Epoch 049 | Train: 0.8729 (Easy: 0.4880, Hard: 1.2491) | Val: 0.7497 (Easy: 0.4463, Hard: 1.0702) | LR: 0.000500
=> Epoch 050 | Train: 0.8671 (Easy: 0.4857, Hard: 1.2369) | Val: 0.7531 (Easy: 0.4454, Hard: 1.0799) | LR: 0.000500
=> Epoch 051 | Train: 0.8699 (Easy: 0.4875, Hard: 1.2428) | Val: 0.7492 (Easy: 0.4447, Hard: 1.0715) | LR: 0.000500
=> Epoch 052 | Train: 0.8671 (Easy: 0.4888, Hard: 1.2351) | Val: 0.7529 (Easy: 0.4425, Hard: 1.0795) | LR: 0.000500
=> Epoch 053 | Train: 0.8739 (Easy: 0.4904, Hard: 1.2462) | Val: 0.7511 (Easy: 0.4439, Hard: 1.0748) | LR: 0.000500
=> Epoch 054 | Train: 0.8645 (Easy: 0.4882, Hard: 1.2318) | Val: 0.7502 (Easy: 0.4429, Hard: 1.0781) | LR: 0.000500
=> Epoch 055 | Train: 0.8599 (Easy: 0.4805, Hard: 1.2257) | Val: 0.7517 (Easy: 0.4411, Hard: 1.0795) | LR: 0.000500
=> Epoch 056 | Train: 0.8728 (Easy: 0.4856, Hard: 1.2475) | Val: 0.7506 (Easy: 0.4411, Hard: 1.0790) | LR: 0.000500
=> Epoch 057 | Train: 0.8616 (Easy: 0.4835, Hard: 1.2282) | Val: 0.7475 (Easy: 0.4412, Hard: 1.0714) | LR: 0.000500
=> Epoch 058 | Train: 0.8649 (Easy: 0.4836, Hard: 1.2299) | Val: 0.7469 (Easy: 0.4404, Hard: 1.0688) | LR: 0.000500
=> Epoch 059 | Train: 0.8651 (Easy: 0.4906, Hard: 1.2274) | Val: 0.7497 (Easy: 0.4403, Hard: 1.0769) | LR: 0.000500
=> Epoch 060 | Train: 0.8673 (Easy: 0.4881, Hard: 1.2379) | Val: 0.7453 (Easy: 0.4430, Hard: 1.0662) | LR: 0.000500
=> Epoch 061 | Train: 0.8612 (Easy: 0.4792, Hard: 1.2274) | Val: 0.7465 (Easy: 0.4410, Hard: 1.0676) | LR: 0.000500
=> Epoch 062 | Train: 0.8636 (Easy: 0.4852, Hard: 1.2327) | Val: 0.7500 (Easy: 0.4402, Hard: 1.0767) | LR: 0.000500
=> Epoch 063 | Train: 0.8552 (Easy: 0.4853, Hard: 1.2136) | Val: 0.7496 (Easy: 0.4400, Hard: 1.0760) | LR: 0.000500
=> Epoch 064 | Train: 0.8681 (Easy: 0.4824, Hard: 1.2448) | Val: 0.7453 (Easy: 0.4401, Hard: 1.0679) | LR: 0.000500
=> Epoch 065 | Train: 0.8566 (Easy: 0.4786, Hard: 1.2186) | Val: 0.7424 (Easy: 0.4400, Hard: 1.0627) | LR: 0.000500
=> Epoch 066 | Train: 0.8519 (Easy: 0.4768, Hard: 1.2136) | Val: 0.7442 (Easy: 0.4379, Hard: 1.0690) | LR: 0.000500
