=> Trial Start: ['dir_sim', 'recency', 'closeness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'closeness']
=> Epoch 038 | Train: 0.8137 (Easy: 0.4834, Hard: 1.1469) | Val: 0.7373 (Easy: 0.4750, Hard: 1.0134) | LR: 0.001000
=> Epoch 039 | Train: 0.8214 (Easy: 0.4859, Hard: 1.1639) | Val: 0.7375 (Easy: 0.4780, Hard: 1.0072) | LR: 0.001000
=> Epoch 040 | Train: 0.8169 (Easy: 0.4754, Hard: 1.1552) | Val: 0.7333 (Easy: 0.4723, Hard: 1.0111) | LR: 0.001000
=> Epoch 041 | Train: 0.8172 (Easy: 0.4812, Hard: 1.1530) | Val: 0.7263 (Easy: 0.4747, Hard: 0.9926) | LR: 0.001000
=> Epoch 042 | Train: 0.8036 (Easy: 0.4877, Hard: 1.1268) | Val: 0.7399 (Easy: 0.4798, Hard: 1.0157) | LR: 0.001000
=> Epoch 043 | Train: 0.8211 (Easy: 0.4854, Hard: 1.1640) | Val: 0.7315 (Easy: 0.4686, Hard: 1.0068) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 044 | Train: 0.8130 (Easy: 0.4821, Hard: 1.1385) | Val: 0.7236 (Easy: 0.4526, Hard: 1.0074) | LR: 0.000500
=> Epoch 045 | Train: 0.8003 (Easy: 0.4808, Hard: 1.1207) | Val: 0.7320 (Easy: 0.4540, Hard: 1.0152) | LR: 0.000500
=> Epoch 046 | Train: 0.8069 (Easy: 0.4782, Hard: 1.1338) | Val: 0.7240 (Easy: 0.4516, Hard: 1.0056) | LR: 0.000500
=> Epoch 047 | Train: 0.8042 (Easy: 0.4835, Hard: 1.1235) | Val: 0.7262 (Easy: 0.4551, Hard: 1.0055) | LR: 0.000500
=> Epoch 048 | Train: 0.8020 (Easy: 0.4725, Hard: 1.1344) | Val: 0.7201 (Easy: 0.4608, Hard: 0.9931) | LR: 0.000500
=> Epoch 049 | Train: 0.7879 (Easy: 0.4691, Hard: 1.1141) | Val: 0.7222 (Easy: 0.4553, Hard: 0.9998) | LR: 0.000500
=> Epoch 050 | Train: 0.7872 (Easy: 0.4759, Hard: 1.0980) | Val: 0.7299 (Easy: 0.4592, Hard: 1.0106) | LR: 0.000500
=> Epoch 051 | Train: 0.7971 (Easy: 0.4726, Hard: 1.1250) | Val: 0.7261 (Easy: 0.4551, Hard: 1.0064) | LR: 0.000500
=> Epoch 052 | Train: 0.7967 (Easy: 0.4749, Hard: 1.1210) | Val: 0.7241 (Easy: 0.4498, Hard: 1.0056) | LR: 0.000500
=> Epoch 053 | Train: 0.7944 (Easy: 0.4736, Hard: 1.1156) | Val: 0.7218 (Easy: 0.4474, Hard: 1.0056) | LR: 0.000500
=> Epoch 054 | Train: 0.7932 (Easy: 0.4746, Hard: 1.1126) | Val: 0.7260 (Easy: 0.4508, Hard: 1.0123) | LR: 0.000500
=> Epoch 055 | Train: 0.7849 (Easy: 0.4630, Hard: 1.1041) | Val: 0.7201 (Easy: 0.4475, Hard: 1.0036) | LR: 0.000500
=> Epoch 056 | Train: 0.7840 (Easy: 0.4636, Hard: 1.1076) | Val: 0.7178 (Easy: 0.4475, Hard: 0.9998) | LR: 0.000500
=> Epoch 057 | Train: 0.7897 (Easy: 0.4744, Hard: 1.1031) | Val: 0.7163 (Easy: 0.4474, Hard: 0.9970) | LR: 0.000500
=> Epoch 058 | Train: 0.7931 (Easy: 0.4732, Hard: 1.1142) | Val: 0.7189 (Easy: 0.4509, Hard: 0.9966) | LR: 0.000500
=> Epoch 059 | Train: 0.7946 (Easy: 0.4744, Hard: 1.1175) | Val: 0.7167 (Easy: 0.4514, Hard: 0.9933) | LR: 0.000500
=> Epoch 060 | Train: 0.7908 (Easy: 0.4782, Hard: 1.1089) | Val: 0.7187 (Easy: 0.4474, Hard: 0.9996) | LR: 0.000500
=> Epoch 061 | Train: 0.7911 (Easy: 0.4663, Hard: 1.1144) | Val: 0.7179 (Easy: 0.4459, Hard: 1.0006) | LR: 0.000500
=> Epoch 062 | Train: 0.7918 (Easy: 0.4702, Hard: 1.1167) | Val: 0.7197 (Easy: 0.4505, Hard: 0.9991) | LR: 0.000500
=> Epoch 063 | Train: 0.7823 (Easy: 0.4706, Hard: 1.0883) | Val: 0.7208 (Easy: 0.4477, Hard: 1.0023) | LR: 0.000500
=> Epoch 064 | Train: 0.7900 (Easy: 0.4777, Hard: 1.1036) | Val: 0.7250 (Easy: 0.4484, Hard: 1.0096) | LR: 0.000500
=> Epoch 065 | Train: 0.7899 (Easy: 0.4648, Hard: 1.1130) | Val: 0.7261 (Easy: 0.4488, Hard: 1.0115) | LR: 0.000500
=> Epoch 066 | Train: 0.7842 (Easy: 0.4629, Hard: 1.1005) | Val: 0.7240 (Easy: 0.4447, Hard: 1.0126) | LR: 0.000500
=> Epoch 067 | Train: 0.7843 (Easy: 0.4606, Hard: 1.1088) | Val: 0.7224 (Easy: 0.4460, Hard: 1.0068) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 068 | Train: 0.7778 (Easy: 0.4634, Hard: 1.0930) | Val: 0.7186 (Easy: 0.4452, Hard: 1.0015) | LR: 0.000250
=> Epoch 069 | Train: 0.7885 (Easy: 0.4720, Hard: 1.1087) | Val: 0.7163 (Easy: 0.4443, Hard: 0.9988) | LR: 0.000250
=> Epoch 070 | Train: 0.7792 (Easy: 0.4660, Hard: 1.0917) | Val: 0.7172 (Easy: 0.4452, Hard: 1.0002) | LR: 0.000250
=> Epoch 071 | Train: 0.7730 (Easy: 0.4638, Hard: 1.0807) | Val: 0.7164 (Easy: 0.4484, Hard: 0.9953) | LR: 0.000250
=> Epoch 072 | Train: 0.7731 (Easy: 0.4779, Hard: 1.0674) | Val: 0.7216 (Easy: 0.4459, Hard: 1.0059) | LR: 0.000250
=> Early stopping triggered
=> Final Test Accuracy: 0.7118 | Easy: 0.8221 | Hard: 0.5379

=> Split: 1 | Features: ['dir_sim', 'recency', 'closeness']
=> Epoch 000 | Train: 1.2204 (Easy: 0.8598, Hard: 1.5733) | Val: 0.8880 (Easy: 0.5253, Hard: 1.3304) | LR: 0.001000
=> Epoch 001 | Train: 1.0397 (Easy: 0.5816, Hard: 1.4996) | Val: 0.8567 (Easy: 0.4971, Hard: 1.3049) | LR: 0.001000
=> Epoch 002 | Train: 1.0042 (Easy: 0.5633, Hard: 1.4415) | Val: 0.8502 (Easy: 0.4908, Hard: 1.3070) | LR: 0.001000
=> Epoch 003 | Train: 0.9946 (Easy: 0.5628, Hard: 1.4268) | Val: 0.8476 (Easy: 0.4969, Hard: 1.2970) | LR: 0.001000
=> Epoch 004 | Train: 0.9847 (Easy: 0.5601, Hard: 1.4148) | Val: 0.8439 (Easy: 0.4830, Hard: 1.3072) | LR: 0.001000
