=> Trial Start: ['dir_sim', 'recency', 'ct']

=> Split: 0 | Features: ['dir_sim', 'recency', 'ct']
=> Epoch 038 | Train: 0.8645 (Easy: 0.5130, Hard: 1.2079) | Val: 0.7763 (Easy: 0.4823, Hard: 1.1013) | LR: 0.001000
=> Epoch 039 | Train: 0.8663 (Easy: 0.5096, Hard: 1.2111) | Val: 0.7768 (Easy: 0.4793, Hard: 1.1030) | LR: 0.001000
=> Epoch 040 | Train: 0.8516 (Easy: 0.5036, Hard: 1.1896) | Val: 0.7722 (Easy: 0.4832, Hard: 1.0912) | LR: 0.001000
=> Epoch 041 | Train: 0.8488 (Easy: 0.5059, Hard: 1.1802) | Val: 0.7716 (Easy: 0.4784, Hard: 1.0945) | LR: 0.001000
=> Epoch 042 | Train: 0.8436 (Easy: 0.5034, Hard: 1.1756) | Val: 0.7723 (Easy: 0.4801, Hard: 1.0913) | LR: 0.001000
=> Epoch 043 | Train: 0.8549 (Easy: 0.5106, Hard: 1.1921) | Val: 0.7706 (Easy: 0.4720, Hard: 1.1005) | LR: 0.001000
=> Epoch 044 | Train: 0.8377 (Easy: 0.4987, Hard: 1.1640) | Val: 0.7715 (Easy: 0.4926, Hard: 1.0802) | LR: 0.001000
=> Epoch 045 | Train: 0.8446 (Easy: 0.4948, Hard: 1.1819) | Val: 0.7686 (Easy: 0.4766, Hard: 1.0940) | LR: 0.001000
=> Epoch 046 | Train: 0.8378 (Easy: 0.5011, Hard: 1.1595) | Val: 0.7665 (Easy: 0.4798, Hard: 1.0825) | LR: 0.001000
=> Epoch 047 | Train: 0.8382 (Easy: 0.4898, Hard: 1.1782) | Val: 0.7580 (Easy: 0.4770, Hard: 1.0725) | LR: 0.001000
=> Epoch 048 | Train: 0.8301 (Easy: 0.5015, Hard: 1.1463) | Val: 0.7623 (Easy: 0.4825, Hard: 1.0731) | LR: 0.001000
=> Epoch 049 | Train: 0.8377 (Easy: 0.5060, Hard: 1.1561) | Val: 0.7604 (Easy: 0.4776, Hard: 1.0717) | LR: 0.001000
=> Epoch 050 | Train: 0.8230 (Easy: 0.4935, Hard: 1.1393) | Val: 0.7667 (Easy: 0.4895, Hard: 1.0729) | LR: 0.001000
=> Epoch 051 | Train: 0.8346 (Easy: 0.4958, Hard: 1.1641) | Val: 0.7610 (Easy: 0.4825, Hard: 1.0666) | LR: 0.001000
=> Epoch 052 | Train: 0.8251 (Easy: 0.4904, Hard: 1.1508) | Val: 0.7544 (Easy: 0.4705, Hard: 1.0678) | LR: 0.001000
=> Epoch 053 | Train: 0.8372 (Easy: 0.4955, Hard: 1.1654) | Val: 0.7602 (Easy: 0.4819, Hard: 1.0702) | LR: 0.001000
=> Epoch 054 | Train: 0.8362 (Easy: 0.4984, Hard: 1.1699) | Val: 0.7599 (Easy: 0.4814, Hard: 1.0683) | LR: 0.001000
=> Epoch 055 | Train: 0.8164 (Easy: 0.4914, Hard: 1.1275) | Val: 0.7541 (Easy: 0.4737, Hard: 1.0679) | LR: 0.001000
=> Epoch 056 | Train: 0.8251 (Easy: 0.5022, Hard: 1.1299) | Val: 0.7538 (Easy: 0.4733, Hard: 1.0630) | LR: 0.001000
=> Epoch 057 | Train: 0.8305 (Easy: 0.4989, Hard: 1.1525) | Val: 0.7583 (Easy: 0.4827, Hard: 1.0622) | LR: 0.001000
=> Epoch 058 | Train: 0.8165 (Easy: 0.4879, Hard: 1.1320) | Val: 0.7470 (Easy: 0.4636, Hard: 1.0625) | LR: 0.001000
=> Epoch 059 | Train: 0.8132 (Easy: 0.4935, Hard: 1.1164) | Val: 0.7663 (Easy: 0.4910, Hard: 1.0711) | LR: 0.001000
=> Epoch 060 | Train: 0.8179 (Easy: 0.4952, Hard: 1.1286) | Val: 0.7535 (Easy: 0.4757, Hard: 1.0588) | LR: 0.001000
=> Epoch 061 | Train: 0.8078 (Easy: 0.4894, Hard: 1.1142) | Val: 0.7524 (Easy: 0.4656, Hard: 1.0662) | LR: 0.001000
=> Epoch 062 | Train: 0.8040 (Easy: 0.4794, Hard: 1.1175) | Val: 0.7502 (Easy: 0.4742, Hard: 1.0546) | LR: 0.001000
=> Epoch 063 | Train: 0.8015 (Easy: 0.4905, Hard: 1.1073) | Val: 0.7565 (Easy: 0.4732, Hard: 1.0713) | LR: 0.001000
=> Epoch 064 | Train: 0.8107 (Easy: 0.4949, Hard: 1.1206) | Val: 0.7424 (Easy: 0.4627, Hard: 1.0527) | LR: 0.001000
