=> Trial Start: ['dir_sim', 'recency', 'degree']

=> Split: 0 | Features: ['dir_sim', 'recency', 'degree']
=> Epoch 038 | Train: 0.8267 (Easy: 0.4897, Hard: 1.1599) | Val: 0.7635 (Easy: 0.5015, Hard: 1.0270) | LR: 0.001000
=> Epoch 039 | Train: 0.8368 (Easy: 0.5012, Hard: 1.1716) | Val: 0.7425 (Easy: 0.4787, Hard: 1.0085) | LR: 0.001000
=> Epoch 040 | Train: 0.8222 (Easy: 0.4875, Hard: 1.1506) | Val: 0.7450 (Easy: 0.4814, Hard: 1.0129) | LR: 0.001000
=> Epoch 041 | Train: 0.8290 (Easy: 0.4878, Hard: 1.1646) | Val: 0.7415 (Easy: 0.4846, Hard: 1.0038) | LR: 0.001000
=> Epoch 042 | Train: 0.8104 (Easy: 0.4958, Hard: 1.1244) | Val: 0.7481 (Easy: 0.4894, Hard: 1.0088) | LR: 0.001000
=> Epoch 043 | Train: 0.8253 (Easy: 0.4934, Hard: 1.1612) | Val: 0.7330 (Easy: 0.4665, Hard: 1.0061) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 044 | Train: 0.8137 (Easy: 0.4913, Hard: 1.1247) | Val: 0.7312 (Easy: 0.4514, Hard: 1.0225) | LR: 0.000500
=> Epoch 045 | Train: 0.8112 (Easy: 0.4904, Hard: 1.1297) | Val: 0.7339 (Easy: 0.4560, Hard: 1.0198) | LR: 0.000500
=> Epoch 046 | Train: 0.8096 (Easy: 0.4803, Hard: 1.1301) | Val: 0.7279 (Easy: 0.4567, Hard: 1.0098) | LR: 0.000500
=> Epoch 047 | Train: 0.8118 (Easy: 0.4929, Hard: 1.1280) | Val: 0.7334 (Easy: 0.4578, Hard: 1.0179) | LR: 0.000500
=> Epoch 048 | Train: 0.8068 (Easy: 0.4784, Hard: 1.1363) | Val: 0.7289 (Easy: 0.4616, Hard: 1.0072) | LR: 0.000500
=> Epoch 049 | Train: 0.7990 (Easy: 0.4791, Hard: 1.1213) | Val: 0.7287 (Easy: 0.4567, Hard: 1.0119) | LR: 0.000500
=> Epoch 050 | Train: 0.7939 (Easy: 0.4857, Hard: 1.0988) | Val: 0.7259 (Easy: 0.4556, Hard: 1.0079) | LR: 0.000500
=> Epoch 051 | Train: 0.8082 (Easy: 0.4820, Hard: 1.1299) | Val: 0.7289 (Easy: 0.4549, Hard: 1.0119) | LR: 0.000500
=> Epoch 052 | Train: 0.8102 (Easy: 0.4803, Hard: 1.1368) | Val: 0.7295 (Easy: 0.4498, Hard: 1.0183) | LR: 0.000500
=> Epoch 053 | Train: 0.8018 (Easy: 0.4809, Hard: 1.1161) | Val: 0.7261 (Easy: 0.4522, Hard: 1.0095) | LR: 0.000500
=> Epoch 054 | Train: 0.8006 (Easy: 0.4833, Hard: 1.1130) | Val: 0.7287 (Easy: 0.4552, Hard: 1.0120) | LR: 0.000500
=> Epoch 055 | Train: 0.7992 (Easy: 0.4786, Hard: 1.1138) | Val: 0.7264 (Easy: 0.4520, Hard: 1.0104) | LR: 0.000500
=> Epoch 056 | Train: 0.7931 (Easy: 0.4781, Hard: 1.1068) | Val: 0.7290 (Easy: 0.4543, Hard: 1.0113) | LR: 0.000500
=> Epoch 057 | Train: 0.8042 (Easy: 0.4848, Hard: 1.1177) | Val: 0.7220 (Easy: 0.4551, Hard: 0.9988) | LR: 0.000500
=> Epoch 058 | Train: 0.8004 (Easy: 0.4858, Hard: 1.1098) | Val: 0.7232 (Easy: 0.4578, Hard: 0.9975) | LR: 0.000500
=> Epoch 059 | Train: 0.8040 (Easy: 0.4875, Hard: 1.1195) | Val: 0.7217 (Easy: 0.4569, Hard: 0.9956) | LR: 0.000500
=> Epoch 060 | Train: 0.7922 (Easy: 0.4875, Hard: 1.0966) | Val: 0.7218 (Easy: 0.4519, Hard: 1.0017) | LR: 0.000500
=> Epoch 061 | Train: 0.8036 (Easy: 0.4764, Hard: 1.1256) | Val: 0.7224 (Easy: 0.4552, Hard: 0.9981) | LR: 0.000500
=> Epoch 062 | Train: 0.8002 (Easy: 0.4778, Hard: 1.1197) | Val: 0.7233 (Easy: 0.4548, Hard: 0.9997) | LR: 0.000500
=> Epoch 063 | Train: 0.7822 (Easy: 0.4801, Hard: 1.0739) | Val: 0.7236 (Easy: 0.4544, Hard: 1.0021) | LR: 0.000500
=> Epoch 064 | Train: 0.8026 (Easy: 0.4876, Hard: 1.1137) | Val: 0.7249 (Easy: 0.4529, Hard: 1.0074) | LR: 0.000500
=> Epoch 065 | Train: 0.7894 (Easy: 0.4749, Hard: 1.0977) | Val: 0.7247 (Easy: 0.4551, Hard: 1.0018) | LR: 0.000500
=> Epoch 066 | Train: 0.7857 (Easy: 0.4713, Hard: 1.0929) | Val: 0.7224 (Easy: 0.4549, Hard: 0.9975) | LR: 0.000500
=> Epoch 067 | Train: 0.7961 (Easy: 0.4757, Hard: 1.1147) | Val: 0.7197 (Easy: 0.4515, Hard: 0.9978) | LR: 0.000500
=> Epoch 068 | Train: 0.7911 (Easy: 0.4769, Hard: 1.1044) | Val: 0.7206 (Easy: 0.4528, Hard: 0.9986) | LR: 0.000500
=> Epoch 069 | Train: 0.8055 (Easy: 0.4900, Hard: 1.1173) | Val: 0.7174 (Easy: 0.4535, Hard: 0.9901) | LR: 0.000500
=> Epoch 070 | Train: 0.7938 (Easy: 0.4808, Hard: 1.0996) | Val: 0.7181 (Easy: 0.4508, Hard: 1.0005) | LR: 0.000500
=> Epoch 071 | Train: 0.7915 (Easy: 0.4850, Hard: 1.0935) | Val: 0.7160 (Easy: 0.4538, Hard: 0.9872) | LR: 0.000500
=> Epoch 072 | Train: 0.7784 (Easy: 0.4878, Hard: 1.0655) | Val: 0.7216 (Easy: 0.4543, Hard: 0.9982) | LR: 0.000500
=> Epoch 073 | Train: 0.7862 (Easy: 0.4805, Hard: 1.0858) | Val: 0.7149 (Easy: 0.4534, Hard: 0.9860) | LR: 0.000500
=> Epoch 074 | Train: 0.7878 (Easy: 0.4821, Hard: 1.0854) | Val: 0.7152 (Easy: 0.4505, Hard: 0.9891) | LR: 0.000500
=> Epoch 075 | Train: 0.7923 (Easy: 0.4812, Hard: 1.1026) | Val: 0.7185 (Easy: 0.4490, Hard: 0.9980) | LR: 0.000500
=> Epoch 076 | Train: 0.7840 (Easy: 0.4882, Hard: 1.0800) | Val: 0.7153 (Easy: 0.4485, Hard: 0.9931) | LR: 0.000500
=> Epoch 077 | Train: 0.7852 (Easy: 0.4729, Hard: 1.0999) | Val: 0.7171 (Easy: 0.4542, Hard: 0.9887) | LR: 0.000500
=> Epoch 078 | Train: 0.7915 (Easy: 0.4796, Hard: 1.0995) | Val: 0.7224 (Easy: 0.4521, Hard: 1.0003) | LR: 0.000500
=> Epoch 079 | Train: 0.7908 (Easy: 0.4802, Hard: 1.1013) | Val: 0.7170 (Easy: 0.4544, Hard: 0.9862) | LR: 0.000500
=> Epoch 080 | Train: 0.7715 (Easy: 0.4793, Hard: 1.0647) | Val: 0.7139 (Easy: 0.4562, Hard: 0.9802) | LR: 0.000500
=> Epoch 081 | Train: 0.7833 (Easy: 0.4850, Hard: 1.0714) | Val: 0.7202 (Easy: 0.4525, Hard: 0.9920) | LR: 0.000500
=> Epoch 082 | Train: 0.7958 (Easy: 0.4762, Hard: 1.1126) | Val: 0.7156 (Easy: 0.4531, Hard: 0.9844) | LR: 0.000500
=> Epoch 083 | Train: 0.7823 (Easy: 0.4840, Hard: 1.0736) | Val: 0.7154 (Easy: 0.4526, Hard: 0.9843) | LR: 0.000500
=> Epoch 084 | Train: 0.7902 (Easy: 0.4797, Hard: 1.0982) | Val: 0.7158 (Easy: 0.4526, Hard: 0.9837) | LR: 0.000500
=> Epoch 085 | Train: 0.7762 (Easy: 0.4700, Hard: 1.0768) | Val: 0.7139 (Easy: 0.4526, Hard: 0.9834) | LR: 0.000500
=> Epoch 086 | Train: 0.7974 (Easy: 0.4854, Hard: 1.1073) | Val: 0.7089 (Easy: 0.4490, Hard: 0.9771) | LR: 0.000500
=> Epoch 087 | Train: 0.7728 (Easy: 0.4745, Hard: 1.0638) | Val: 0.7148 (Easy: 0.4500, Hard: 0.9881) | LR: 0.000500
=> Epoch 088 | Train: 0.7957 (Easy: 0.4795, Hard: 1.1038) | Val: 0.7102 (Easy: 0.4530, Hard: 0.9755) | LR: 0.000500
=> Epoch 089 | Train: 0.7858 (Easy: 0.4815, Hard: 1.0869) | Val: 0.7105 (Easy: 0.4530, Hard: 0.9746) | LR: 0.000500
=> Epoch 090 | Train: 0.7908 (Easy: 0.4828, Hard: 1.0890) | Val: 0.7181 (Easy: 0.4525, Hard: 0.9866) | LR: 0.000500
=> Epoch 091 | Train: 0.7762 (Easy: 0.4757, Hard: 1.0793) | Val: 0.7136 (Easy: 0.4460, Hard: 0.9879) | LR: 0.000500
=> Epoch 092 | Train: 0.7798 (Easy: 0.4784, Hard: 1.0822) | Val: 0.7104 (Easy: 0.4470, Hard: 0.9816) | LR: 0.000500
=> Epoch 093 | Train: 0.7784 (Easy: 0.4749, Hard: 1.0823) | Val: 0.7096 (Easy: 0.4490, Hard: 0.9777) | LR: 0.000500
=> Epoch 094 | Train: 0.7743 (Easy: 0.4758, Hard: 1.0690) | Val: 0.7175 (Easy: 0.4470, Hard: 0.9986) | LR: 0.000500
=> Epoch 095 | Train: 0.7864 (Easy: 0.4790, Hard: 1.0948) | Val: 0.7099 (Easy: 0.4485, Hard: 0.9784) | LR: 0.000500
=> Epoch 096 | Train: 0.7752 (Easy: 0.4696, Hard: 1.0783) | Val: 0.7102 (Easy: 0.4471, Hard: 0.9829) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 097 | Train: 0.7734 (Easy: 0.4724, Hard: 1.0693) | Val: 0.7065 (Easy: 0.4475, Hard: 0.9772) | LR: 0.000250
=> Epoch 098 | Train: 0.7713 (Easy: 0.4712, Hard: 1.0678) | Val: 0.7048 (Easy: 0.4447, Hard: 0.9785) | LR: 0.000250
=> Epoch 099 | Train: 0.7642 (Easy: 0.4602, Hard: 1.0652) | Val: 0.7059 (Easy: 0.4480, Hard: 0.9753) | LR: 0.000250
=> Epoch 100 | Train: 0.7701 (Easy: 0.4657, Hard: 1.0722) | Val: 0.7046 (Easy: 0.4479, Hard: 0.9725) | LR: 0.000250
=> Epoch 101 | Train: 0.7726 (Easy: 0.4756, Hard: 1.0725) | Val: 0.7075 (Easy: 0.4476, Hard: 0.9783) | LR: 0.000250
=> Epoch 102 | Train: 0.7689 (Easy: 0.4571, Hard: 1.0792) | Val: 0.7049 (Easy: 0.4472, Hard: 0.9732) | LR: 0.000250
=> Epoch 103 | Train: 0.7636 (Easy: 0.4642, Hard: 1.0638) | Val: 0.7051 (Easy: 0.4480, Hard: 0.9734) | LR: 0.000250
=> Epoch 104 | Train: 0.7764 (Easy: 0.4724, Hard: 1.0761) | Val: 0.7035 (Easy: 0.4459, Hard: 0.9738) | LR: 0.000250
