=> Trial Start: ['dir_sim', 'recency', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_stair']
=> Epoch 038 | Train: 0.8470 (Easy: 0.4965, Hard: 1.2019) | Val: 0.7407 (Easy: 0.4579, Hard: 1.0563) | LR: 0.001000
=> Epoch 039 | Train: 0.8539 (Easy: 0.4973, Hard: 1.2158) | Val: 0.7408 (Easy: 0.4598, Hard: 1.0497) | LR: 0.001000
=> Epoch 040 | Train: 0.8445 (Easy: 0.4848, Hard: 1.2060) | Val: 0.7328 (Easy: 0.4588, Hard: 1.0391) | LR: 0.001000
=> Epoch 041 | Train: 0.8354 (Easy: 0.4991, Hard: 1.1777) | Val: 0.7366 (Easy: 0.4613, Hard: 1.0418) | LR: 0.001000
=> Epoch 042 | Train: 0.8319 (Easy: 0.4890, Hard: 1.1794) | Val: 0.7534 (Easy: 0.4713, Hard: 1.0643) | LR: 0.001000
=> Epoch 043 | Train: 0.8433 (Easy: 0.5039, Hard: 1.1895) | Val: 0.7300 (Easy: 0.4659, Hard: 1.0260) | LR: 0.001000
=> Epoch 044 | Train: 0.8286 (Easy: 0.4946, Hard: 1.1616) | Val: 0.7411 (Easy: 0.4642, Hard: 1.0493) | LR: 0.001000
=> Epoch 045 | Train: 0.8288 (Easy: 0.4853, Hard: 1.1782) | Val: 0.7386 (Easy: 0.4662, Hard: 1.0387) | LR: 0.001000
=> Epoch 046 | Train: 0.8249 (Easy: 0.4883, Hard: 1.1593) | Val: 0.7300 (Easy: 0.4558, Hard: 1.0353) | LR: 0.001000
=> Epoch 047 | Train: 0.8293 (Easy: 0.4834, Hard: 1.1781) | Val: 0.7260 (Easy: 0.4580, Hard: 1.0271) | LR: 0.001000
=> Epoch 048 | Train: 0.8153 (Easy: 0.4792, Hard: 1.1595) | Val: 0.7272 (Easy: 0.4617, Hard: 1.0296) | LR: 0.001000
=> Epoch 049 | Train: 0.8208 (Easy: 0.4743, Hard: 1.1722) | Val: 0.7256 (Easy: 0.4553, Hard: 1.0317) | LR: 0.001000
=> Epoch 050 | Train: 0.8121 (Easy: 0.4809, Hard: 1.1439) | Val: 0.7262 (Easy: 0.4596, Hard: 1.0269) | LR: 0.001000
=> Epoch 051 | Train: 0.8141 (Easy: 0.4706, Hard: 1.1605) | Val: 0.7268 (Easy: 0.4545, Hard: 1.0270) | LR: 0.001000
=> Epoch 052 | Train: 0.8130 (Easy: 0.4798, Hard: 1.1487) | Val: 0.7322 (Easy: 0.4634, Hard: 1.0307) | LR: 0.001000
=> Epoch 053 | Train: 0.8202 (Easy: 0.4836, Hard: 1.1603) | Val: 0.7220 (Easy: 0.4505, Hard: 1.0252) | LR: 0.001000
=> Epoch 054 | Train: 0.8171 (Easy: 0.4816, Hard: 1.1578) | Val: 0.7342 (Easy: 0.4777, Hard: 1.0217) | LR: 0.001000
=> Epoch 055 | Train: 0.8088 (Easy: 0.4838, Hard: 1.1375) | Val: 0.7313 (Easy: 0.4639, Hard: 1.0268) | LR: 0.001000
=> Epoch 056 | Train: 0.8149 (Easy: 0.4667, Hard: 1.1642) | Val: 0.7161 (Easy: 0.4440, Hard: 1.0244) | LR: 0.001000
=> Epoch 057 | Train: 0.8116 (Easy: 0.4788, Hard: 1.1429) | Val: 0.7196 (Easy: 0.4486, Hard: 1.0253) | LR: 0.001000
=> Epoch 058 | Train: 0.8182 (Easy: 0.4739, Hard: 1.1631) | Val: 0.7161 (Easy: 0.4422, Hard: 1.0214) | LR: 0.001000
=> Epoch 059 | Train: 0.8219 (Easy: 0.4723, Hard: 1.1737) | Val: 0.7165 (Easy: 0.4460, Hard: 1.0206) | LR: 0.001000
=> Epoch 060 | Train: 0.8168 (Easy: 0.4817, Hard: 1.1536) | Val: 0.7221 (Easy: 0.4471, Hard: 1.0280) | LR: 0.001000
=> Epoch 061 | Train: 0.8057 (Easy: 0.4746, Hard: 1.1321) | Val: 0.7195 (Easy: 0.4484, Hard: 1.0224) | LR: 0.001000
=> Epoch 062 | Train: 0.8161 (Easy: 0.4762, Hard: 1.1567) | Val: 0.7186 (Easy: 0.4396, Hard: 1.0299) | LR: 0.001000
=> Epoch 063 | Train: 0.8068 (Easy: 0.4793, Hard: 1.1329) | Val: 0.7178 (Easy: 0.4465, Hard: 1.0187) | LR: 0.001000
