=> Trial Start: ['dir_sim', 'recency', 'is_classroom']

=> Split: 0 | Features: ['dir_sim', 'recency', 'is_classroom']
=> Epoch 038 | Train: 0.8357 (Easy: 0.4873, Hard: 1.1713) | Val: 0.7227 (Easy: 0.4656, Hard: 1.0079) | LR: 0.001000
=> Epoch 039 | Train: 0.8477 (Easy: 0.4944, Hard: 1.1911) | Val: 0.7269 (Easy: 0.4568, Hard: 1.0282) | LR: 0.001000
=> Epoch 040 | Train: 0.8365 (Easy: 0.4827, Hard: 1.1749) | Val: 0.7213 (Easy: 0.4628, Hard: 1.0054) | LR: 0.001000
=> Epoch 041 | Train: 0.8243 (Easy: 0.4778, Hard: 1.1589) | Val: 0.7182 (Easy: 0.4568, Hard: 1.0118) | LR: 0.001000
=> Epoch 042 | Train: 0.8158 (Easy: 0.4779, Hard: 1.1423) | Val: 0.7144 (Easy: 0.4635, Hard: 0.9948) | LR: 0.001000
=> Epoch 043 | Train: 0.8286 (Easy: 0.4877, Hard: 1.1534) | Val: 0.7129 (Easy: 0.4605, Hard: 0.9944) | LR: 0.001000
=> Epoch 044 | Train: 0.8267 (Easy: 0.4861, Hard: 1.1513) | Val: 0.7114 (Easy: 0.4521, Hard: 1.0036) | LR: 0.001000
=> Epoch 045 | Train: 0.8301 (Easy: 0.4786, Hard: 1.1691) | Val: 0.7161 (Easy: 0.4679, Hard: 0.9906) | LR: 0.001000
=> Epoch 046 | Train: 0.8143 (Easy: 0.4716, Hard: 1.1419) | Val: 0.7108 (Easy: 0.4583, Hard: 0.9929) | LR: 0.001000
=> Epoch 047 | Train: 0.8162 (Easy: 0.4743, Hard: 1.1436) | Val: 0.7128 (Easy: 0.4580, Hard: 0.9988) | LR: 0.001000
=> Epoch 048 | Train: 0.8113 (Easy: 0.4837, Hard: 1.1280) | Val: 0.7095 (Easy: 0.4614, Hard: 0.9851) | LR: 0.001000
=> Epoch 049 | Train: 0.8259 (Easy: 0.4892, Hard: 1.1543) | Val: 0.7156 (Easy: 0.4725, Hard: 0.9844) | LR: 0.001000
=> Epoch 050 | Train: 0.8076 (Easy: 0.4811, Hard: 1.1156) | Val: 0.7082 (Easy: 0.4527, Hard: 0.9936) | LR: 0.001000
=> Epoch 051 | Train: 0.8216 (Easy: 0.4755, Hard: 1.1490) | Val: 0.7133 (Easy: 0.4625, Hard: 0.9932) | LR: 0.001000
=> Epoch 052 | Train: 0.8201 (Easy: 0.4913, Hard: 1.1397) | Val: 0.7069 (Easy: 0.4460, Hard: 0.9986) | LR: 0.001000
=> Epoch 053 | Train: 0.8162 (Easy: 0.4765, Hard: 1.1414) | Val: 0.7032 (Easy: 0.4564, Hard: 0.9778) | LR: 0.001000
=> Epoch 054 | Train: 0.8161 (Easy: 0.4748, Hard: 1.1470) | Val: 0.7052 (Easy: 0.4571, Hard: 0.9823) | LR: 0.001000
=> Epoch 055 | Train: 0.8000 (Easy: 0.4708, Hard: 1.1187) | Val: 0.6979 (Easy: 0.4448, Hard: 0.9803) | LR: 0.001000
=> Epoch 056 | Train: 0.8135 (Easy: 0.4838, Hard: 1.1223) | Val: 0.6999 (Easy: 0.4501, Hard: 0.9790) | LR: 0.001000
=> Epoch 057 | Train: 0.8043 (Easy: 0.4828, Hard: 1.1103) | Val: 0.7043 (Easy: 0.4505, Hard: 0.9900) | LR: 0.001000
=> Epoch 058 | Train: 0.8093 (Easy: 0.4762, Hard: 1.1231) | Val: 0.6982 (Easy: 0.4493, Hard: 0.9732) | LR: 0.001000
=> Epoch 059 | Train: 0.8149 (Easy: 0.4687, Hard: 1.1453) | Val: 0.7001 (Easy: 0.4468, Hard: 0.9879) | LR: 0.001000
=> Epoch 060 | Train: 0.8043 (Easy: 0.4781, Hard: 1.1162) | Val: 0.7023 (Easy: 0.4568, Hard: 0.9769) | LR: 0.001000
=> Epoch 061 | Train: 0.7936 (Easy: 0.4695, Hard: 1.1012) | Val: 0.6972 (Easy: 0.4381, Hard: 0.9865) | LR: 0.001000
=> Epoch 062 | Train: 0.8030 (Easy: 0.4629, Hard: 1.1344) | Val: 0.6991 (Easy: 0.4498, Hard: 0.9800) | LR: 0.001000
=> Epoch 063 | Train: 0.7951 (Easy: 0.4655, Hard: 1.1094) | Val: 0.6983 (Easy: 0.4527, Hard: 0.9759) | LR: 0.001000
=> Epoch 064 | Train: 0.8107 (Easy: 0.4804, Hard: 1.1325) | Val: 0.6961 (Easy: 0.4530, Hard: 0.9685) | LR: 0.001000
=> Epoch 065 | Train: 0.8045 (Easy: 0.4719, Hard: 1.1153) | Val: 0.6949 (Easy: 0.4531, Hard: 0.9664) | LR: 0.001000
=> Epoch 066 | Train: 0.7925 (Easy: 0.4704, Hard: 1.0983) | Val: 0.6953 (Easy: 0.4578, Hard: 0.9595) | LR: 0.001000
=> Epoch 067 | Train: 0.8012 (Easy: 0.4685, Hard: 1.1262) | Val: 0.6981 (Easy: 0.4426, Hard: 0.9889) | LR: 0.001000
=> Epoch 068 | Train: 0.8057 (Easy: 0.4707, Hard: 1.1266) | Val: 0.6925 (Easy: 0.4380, Hard: 0.9775) | LR: 0.001000
=> Epoch 069 | Train: 0.8008 (Easy: 0.4726, Hard: 1.1175) | Val: 0.6928 (Easy: 0.4453, Hard: 0.9711) | LR: 0.001000
=> Epoch 070 | Train: 0.7961 (Easy: 0.4606, Hard: 1.1217) | Val: 0.6861 (Easy: 0.4399, Hard: 0.9665) | LR: 0.001000
=> Epoch 071 | Train: 0.7805 (Easy: 0.4609, Hard: 1.0853) | Val: 0.6886 (Easy: 0.4373, Hard: 0.9777) | LR: 0.001000
